SID,SName,CityName
151,八达岭,延庆县
152,康庄,延庆县
153,延庆,延庆县
154,永泰,福州
155,樟林,福州
156,连江,福州
157,罗源,福州
158,闽清,福州
159,闽清北,福州
160,福清,福州
161,福州,福州
162,福州南,福州
163,杜坞,福州
164,古田会址,龙岩
165,冠豸山,龙岩
166,坂尾,龙岩
167,大深,龙岩
168,长汀,龙岩
169,长汀南,龙岩
170,苹林,龙岩
171,梅水坑,龙岩
172,麦园,龙岩
173,龙岩,龙岩
174,漳平,龙岩
175,永定,龙岩
176,雁石,龙岩
177,苏坂,龙岩
178,上杭,龙岩
179,邵武,南平
180,顺昌,南平
181,外洋,南平
182,武夷山,南平
183,武夷山北,南平
184,武夷山东,南平
185,延平,南平
186,南平,南平
187,南平北,南平
188,南平南,南平
189,南平市,南平
190,来舟,南平
191,建瓯,南平
192,建瓯西,南平
193,建阳,南平
194,光泽,南平
195,古田,宁德
196,古田北,宁德
197,福鼎,宁德
198,福安,宁德
199,宁德,宁德
200,霞浦,宁德
201,太姥山,宁德
202,仙游,莆田
203,莆田,莆田
204,涵江,莆田
205,涵江北,莆田
206,格口,泉州
207,福德,泉州
208,感德,泉州
209,长基,泉州
210,安溪,泉州
211,南安,泉州
212,金谷,泉州
213,湖头,泉州
214,惠安,泉州
215,晋江,泉州
216,小舟,泉州
217,泉州,泉州
218,泉州东,泉州
219,沙县,三明
220,三明,三明
221,三明北,三明
222,泰宁,三明
223,尤溪,三明
224,永安,三明
225,中仙,三明
226,建宁县北,三明
227,将乐,三明
228,前场,厦门
229,杏林,厦门
230,厦门,厦门
231,厦门北,厦门
232,厦门高崎,厦门
233,漳浦,漳州
234,漳州,漳州
235,漳州东,漳州
236,诏安,漳州
237,云霄,漳州
238,角美,漳州
239,华安,漳州
240,南靖,漳州
241,龙山镇,漳州
242,草坂,漳州
243,白银市,白银
244,白银西,白银
245,长城,白银
246,长征,白银
247,东湾,白银
248,红砂岘,白银
249,红岘台,白银
250,景泰,白银
251,靖远,白银
252,靖远西,白银
253,兴泉堡,白银
254,吴家川,白银
255,通渭,定西
256,通安驿,定西
257,云田乡,定西
258,陇西,定西
259,岷县,定西
260,定西,定西
261,定西北,定西
262,安定,定西
263,绿化,嘉峪关
264,镜铁山,嘉峪关
265,狼尾山,嘉峪关
266,嘉峪关,嘉峪关
267,嘉峪关南,嘉峪关
268,桥西,嘉峪关
269,永昌,金昌
270,玉石,金昌
271,芨岭,金昌
272,金昌,金昌
273,酒泉,酒泉
274,酒泉南,酒泉
275,柳沟,酒泉
276,柳沟南,酒泉
277,柳园,酒泉
278,柳园南,酒泉
279,安北,酒泉
280,低窝铺,酒泉
281,敦煌,酒泉
282,红柳河,酒泉
283,瓜州,酒泉
284,玉门,酒泉
285,玉门东,酒泉
286,桥湾,酒泉
287,清泉南,酒泉
288,清水,酒泉
289,清水北,酒泉
290,疏勒河,酒泉
291,小泉东,酒泉
292,夏官营,兰州
293,西固,兰州
294,西固城,兰州
295,许家台,兰州
296,王家湾,兰州
297,水车湾,兰州
298,邵家堂,兰州
299,水源,兰州
300,桑园子,兰州
301,榆中,兰州
302,永登,兰州
303,张家祠,兰州
304,中川机场,兰州
305,朱家窑,兰州
306,河口南,兰州
307,海石湾,兰州
308,皋兰,兰州
309,甘草店,兰州
310,福利区,兰州
311,丰水村,兰州
312,八盘峡,兰州
313,陈官营,兰州
314,龙泉寺,兰州
315,骆驼巷,兰州
316,坡底下,兰州
317,兰州,兰州
318,兰州东,兰州
319,兰州西,兰州
320,兰州新区,兰州
321,李家坪,兰州
322,花庄,兰州
323,徽县,陇南
324,两当,陇南
325,陇南,陇南
326,宏庆,陇南
327,哈达铺,陇南
328,崇信,平凉
329,安口窑,平凉
330,平凉,平凉
331,平凉南,平凉
332,庙庄,平凉
333,泾川,平凉
334,神峪河,平凉
335,新李,平凉
336,长庆桥,庆阳
337,贺家店,天水
338,甘谷,天水
339,南河川,天水
340,磐安镇,天水
341,洛门,天水
342,新阳镇,天水
343,渭南镇,天水
344,武山,天水
345,天水,天水
346,天水南,天水
347,三阳川,天水
348,清水县,天水
349,秦安,天水
350,张家川,天水
351,鸳鸯镇,天水
352,元龙,天水
353,园墩,武威
354,上腰墩,武威
355,石峡子,武威
356,谭家井,武威
357,天祝,武威
358,土门子,武威
359,武威,武威
360,武威南,武威
361,龙沟,武威
362,黄羊镇,武威
363,黑冲滩,武威
364,古浪,武威
365,打柴沟,武威
366,高台,张掖
367,高台南,张掖
368,军马场,张掖
369,临泽,张掖
370,临泽南,张掖
371,平原堡,张掖
372,民乐,张掖
373,山丹,张掖
374,张掖,张掖
375,张掖西,张掖
376,许三湾,张掖
377,饶平,潮州
378,潮汕,潮州
379,潮州,潮州
380,常平,东莞
381,常平东,东莞
382,东莞,东莞
383,东莞东,东莞
384,虎门,东莞
385,银瓶,东莞
386,樟木头,东莞
387,樟木头东,东莞
388,云东海,佛山
389,容桂,佛山
390,三水,佛山
391,三水北,佛山
392,三水南,佛山
393,顺德,佛山
394,顺德学院,佛山
395,狮山,佛山
396,狮山北,佛山
397,佛山,佛山
398,佛山西,佛山
399,碧江,佛山
400,北滘,佛山
401,广州,广州
402,广州北,广州
403,广州东,广州
404,广州南,广州
405,广州西,广州
406,庆盛,广州
407,河源,河源
408,和平,河源
409,龙川,河源
410,龙丰,惠州
411,惠东,惠州
412,惠环,惠州
413,惠州,惠州
414,惠州南,惠州
415,惠州西,惠州
416,沥林北,惠州
417,西湖东,惠州
418,小金口,惠州
419,云山,惠州
420,仲恺,惠州
421,新会,江门
422,礼乐,江门
423,江海,江门
424,江门,江门
425,江门东,江门
426,揭阳,揭阳
427,揭阳南,揭阳
428,葵潭,揭阳
429,普宁,揭阳
430,茂名,茂名
431,茂名东,茂名
432,茂名西,茂名
433,化州,茂名
434,高州,茂名
435,电白,茂名
436,信宜,茂名
437,兴宁,梅州
438,畲江,梅州
439,丰顺,梅州
440,丰顺东,梅州
441,大埔,梅州
442,华城,梅州
443,琥市,梅州
444,梅州,梅州
445,梅州西,梅州
446,连江口,清远
447,清远,清远
448,源潭,清远
449,英德,清远
450,英德西,清远
451,阳山,清远
452,汕头,汕头
453,潮阳,汕头
454,鲘门,汕尾
455,陆丰,汕尾
456,汕尾,汕尾
457,韶关,韶关
458,韶关东,韶关
459,始兴,韶关
460,坪石,韶关
461,南雄,韶关
462,乐昌,韶关
463,乐昌东,韶关
464,丹霞山,韶关
465,坂田,深圳
466,福田,深圳
467,光明城,深圳
468,南头,深圳
469,平湖,深圳
470,深圳,深圳
471,深圳北,深圳
472,深圳东,深圳
473,深圳坪山,深圳
474,深圳西,深圳
475,西丽,深圳
476,阳春,阳江
477,春湾,阳江
478,南江口,云浮
479,郁南,云浮
480,云浮东,云浮
481,天堂,云浮
482,塘口,湛江
483,吴川,湛江
484,徐闻,湛江
485,遂溪,湛江
486,湛江,湛江
487,湛江西,湛江
488,雷州,湛江
489,廉江,湛江
490,河唇,湛江
491,广宁,肇庆
492,鼎湖东,肇庆
493,鼎湖山,肇庆
494,端州,肇庆
495,大旺,肇庆
496,怀集,肇庆
497,肇庆,肇庆
498,肇庆东,肇庆
499,四会,肇庆
500,新兴县,肇庆
501,小榄,中山
502,中山,中山
503,中山北,中山
504,南朗,中山
505,东升,中山
506,古镇,中山
507,明珠,珠海
508,珠海,珠海
509,珠海北,珠海
510,唐家湾,珠海
511,前山,珠海
512,田东,百色
513,田东北,百色
514,田林,百色
515,田阳,百色
516,汪甸,百色
517,下塘,百色
518,永乐,百色
519,阳圩,百色
520,平果,百色
521,靖西,百色
522,德保,百色
523,百色,百色
524,板桃,百色
525,北海,北海
526,合浦,北海
527,扶绥,崇左
528,崇左,崇左
529,濑湍,崇左
530,凭祥,崇左
531,宁明,崇左
532,龙伯屯,崇左
533,夏石,崇左
534,亭亮,崇左
535,天西,崇左
536,渠旧,崇左
537,渠黎,崇左
538,茅岭,防城港
539,防城,防城港
540,防城港,防城港
541,防城港北,防城港
542,贵港,贵港
543,桂平,贵港
544,平南南,贵港
545,桂林,桂林
546,桂林北,桂林
547,桂林西,桂林
548,恭城,桂林
549,大溶江,桂林
550,百里村,桂林
551,全州,桂林
552,全州南,桂林
553,绍水,桂林
554,兴安,桂林
555,兴安北,桂林
556,阳朔,桂林
557,永福,桂林
558,永福南,桂林
559,宜州,河池
560,叶茂,河池
561,双蒙,河池
562,德胜,河池
563,南丹,河池
564,罗城,河池
565,洛东,河池
566,金城江,河池
567,贺州,贺州
568,富川,贺州
569,钟山,贺州
570,钟山西,贺州
571,来宾,来宾
572,来宾北,来宾
573,老堡,柳州
574,鹿寨,柳州
575,鹿寨北,柳州
576,柳州,柳州
577,柳州南,柳州
578,柳江,柳州
579,柳城,柳州
580,古砦,柳州
581,大岭,柳州
582,程村,柳州
583,寨隆,柳州
584,太阳村,柳州
585,三江南,柳州
586,三江县,柳州
587,融安,柳州
588,融水,柳州
589,塘库,柳州
590,吴圩,南宁
591,大拟,南宁
592,大王滩,南宁
593,大元,南宁
594,百浪,南宁
595,宾阳,南宁
596,伶俐,南宁
597,隆安,南宁
598,隆安东,南宁
599,南宁,南宁
600,南宁东,南宁
601,南宁西,南宁
602,那铺,南宁
603,平林村,南宁
604,宁村,南宁
605,黎塘,南宁
606,金鸡村,南宁
607,江西村,南宁
608,马皇,钦州
609,小董,钦州
610,钦州,钦州
611,钦州东,钦州
612,梧州,梧州
613,梧州南,梧州
614,藤县,梧州
615,岑溪,梧州
616,博白,玉林
617,北流,玉林
618,陆川,玉林
619,文地,玉林
620,兴业,玉林
621,容县,玉林
622,玉林,玉林
623,新平坝,安顺
624,天龙,安顺
625,马场,安顺
626,么铺,安顺
627,平坝,安顺
628,普定,安顺
629,鸡场坡,安顺
630,化处,安顺
631,黄桶,安顺
632,两所屯,安顺
633,安顺,安顺
634,安顺西,安顺
635,关岭,安顺
636,高峰,安顺
637,打括,毕节
638,草海,毕节
639,凉水井,毕节
640,李子沟,毕节
641,老锅厂,毕节
642,金钟,毕节
643,花土坡,毕节
644,葡萄菁,毕节
645,纳雍,毕节
646,梅花山,毕节
647,仙水,毕节
648,清水沟,毕节
649,石丫口,毕节
650,迤那,毕节
651,织金,毕节
652,朱嘎,毕节
653,石板哨,贵阳
654,上郭关,贵阳
655,相思河,贵阳
656,息烽,贵阳
657,修文,贵阳
658,洛湾三江,贵阳
659,龙洞堡,贵阳
660,湖潮,贵阳
661,开阳,贵阳
662,百宜,贵阳
663,贵阳,贵阳
664,贵阳北,贵阳
665,贵阳东,贵阳
666,贵阳西,贵阳
667,加劳,凯里
668,六个鸡,凯里
669,桐木寨,凯里
670,瓦窑田,六盘水
671,威箐,六盘水
672,小雨谷,六盘水
673,上西铺,六盘水
674,沙沱,六盘水
675,三家寨,六盘水
676,双水,六盘水
677,水城,六盘水
678,松河,六盘水
679,月亮田,六盘水
680,营街,六盘水
681,玉舍,六盘水
682,雨格,六盘水
683,六盘水,六盘水
684,六盘水南,六盘水
685,六枝,六盘水
686,马嘎,六盘水
687,鲁番,六盘水
688,茅草坪,六盘水
689,那玉,六盘水
690,平关,六盘水
691,平田,六盘水
692,盘州,六盘水
693,盘关,六盘水
694,花家庄,六盘水
695,滥坝,六盘水
696,关寨,六盘水
697,红果,六盘水
698,高坪铺,六盘水
699,都格,六盘水
700,发耳,六盘水
701,二道岩,六盘水
702,柏果,六盘水
703,白鸡坡,六盘水
704,曹家湾,六盘水
705,茨冲,六盘水
706,大湾,六盘水
707,宝老山,黔东南
708,老罗堡,黔东南
709,老王洞,黔东南
710,凯里,黔东南
711,黄平,黔东南
712,麻江,黔东南
713,龙里,黔东南
714,羊坪,黔东南
715,镇远,黔东南
716,水花,黔东南
717,施秉,黔东南
718,青溪,黔东南
719,榕江,黔东南苗族侗族自治州
720,三穗,黔东南苗族侗族自治州
721,凯里南,黔东南苗族侗族自治州
722,从江,黔东南苗族侗族自治州
723,贵定县,黔南
724,贵定,黔南布依族苗族自治州
725,贵定北,黔南布依族苗族自治州
726,贵定南,黔南布依族苗族自治州
727,河阳,黔南布依族苗族自治州
728,都匀东,黔南布依族苗族自治州
729,峰洞,黔南布依族苗族自治州
730,龙里北,黔南布依族苗族自治州
731,三都县,黔南布依族苗族自治州
732,泗亭,黔南布依族苗族自治州
733,小西堡,黔南布依族苗族自治州
734,新坪田,黔西南布依族苗族自治州
735,兴义,黔西南布依族苗族自治州
736,星朗,黔西南布依族苗族自治州
737,威舍,黔西南布依族苗族自治州
738,沙厂坪,黔西南布依族苗族自治州
739,郑屯,黔西南布依族苗族自治州
740,朱石寨,黔西南布依族苗族自治州
741,学庄,黔西南布依族苗族自治州
742,龙广,黔西南布依族苗族自治州
743,麻尾,黔西南布依族苗族自治州
744,品甸,黔西南布依族苗族自治州
745,墨冲,黔西南布依族苗族自治州
746,黄丝,黔西南布依族苗族自治州
747,蕉溪,黔西南布依族苗族自治州
748,福泉,黔西南布依族苗族自治州
749,独山,黔西南布依族苗族自治州
750,都匀,黔西南布依族苗族自治州
751,革居,黔西南布依族苗族自治州
752,册亨,黔西南布依族苗族自治州
753,打羊,黔西南布依族苗族自治州
754,板其,黔西南布依族苗族自治州
755,白水河,黔西南布依族苗族自治州
756,安龙,黔西南布依族苗族自治州
757,大宗坪,铜仁
758,玉屏,铜仁
759,松桃,铜仁
760,铜仁,铜仁
761,铜仁南,铜仁
762,桃映,铜仁
763,桐梓,遵义
764,新场,遵义
765,松坎,遵义
766,松坝,遵义
767,太白,遵义
768,三元坝,遵义
769,遵义,遵义
770,元田坝,遵义
771,大河坝,遵义
772,红花园,遵义
773,高炉子,遵义
774,汇塘河,遵义
775,九龙塘,遵义
776,李家湾,遵义
777,凉风垭,遵义
778,木竹河,遵义
779,蒙渡,遵义
780,娄山关,遵义
781,棋子湾,昌江黎族自治县
782,老城镇,澄迈县
783,福山镇,澄迈县
784,白马井,儋州
785,银滩,儋州
786,东方,东方
787,金月湾,东方
788,美兰,海口
789,海口,海口
790,海口东,海口
791,乐东,乐东黎族自治县
792,黄流,乐东黎族自治县
793,尖峰,乐东黎族自治县
794,临高南,临高县
795,陵水,陵水黎族自治县
796,博鳌,琼海
797,琼海,琼海
798,三亚,三亚
799,崖州,三亚
800,亚龙湾,三亚
801,凤凰机场,三亚
802,南山北,三亚
803,神州,万宁
804,万宁,万宁
805,文昌,文昌
806,完县,保定
807,王安镇,保定
808,望都,保定
809,小西庄,保定
810,徐水,保定
811,徐水东,保定
812,塔崖驿,保定
813,沙坨子,保定
814,上安,保定
815,清风店,保定
816,奇峰塔,保定
817,野三坡,保定
818,于家庄,保定
819,寨西店,保定
820,紫荆关,保定
821,涿州,保定
822,涿州东,保定
823,南张村,保定
824,南城司,保定
825,涞源,保定
826,浮图峪,保定
827,福山口,保定
828,高碑店,保定
829,高碑店东,保定
830,定兴,保定
831,定州,保定
832,定州东,保定
833,板城,保定
834,保定,保定
835,保定东,保定
836,白涧,保定
837,白沟,保定
838,白洋淀,保定
839,百里峡,保定
840,艾河,保定
841,大盘石,保定
842,泊头,沧州
843,沧州,沧州
844,沧州西,沧州
845,东光,沧州
846,段甲岭,沧州
847,河间西,沧州
848,高寺台,沧州
849,青县,沧州
850,任丘,沧州
851,三平,沧州
852,肃宁,沧州
853,吴桥,沧州
854,五道河,承德
855,汤头沟,承德
856,兴隆县,承德
857,新杖子,承德
858,小寺沟,承德
859,下板城,承德
860,西大庙,承德
861,下台子,承德
862,四合永,承德
863,双桥,承德
864,双峰寺,承德
865,上板城,承德
866,上板城南,承德
867,上谷,承德
868,前苇塘,承德
869,张百湾,承德
870,赵家店,承德
871,张三营,承德
872,永和,承德
873,榆树沟,承德
874,银镇,承德
875,鹰手营子,承德
876,窑上,承德
877,杨树岭,承德
878,腰栈,承德
879,广德号,承德
880,韩麻营,承德
881,河洛营,承德
882,洞庙河,承德
883,二道沟门,承德
884,东大坝,承德
885,北马圈子,承德
886,白旗,承德
887,大杖子,承德
888,承德,承德
889,承德东,承德
890,超梁沟,承德
891,朝阳地,承德
892,梁底下,承德
893,甲山,承德
894,纪家沟,承德
895,金沟屯,承德
896,黄家店,承德
897,黄土坎,承德
898,虎什哈,承德
899,猴山,承德
900,庙宫,承德
901,闹海营,承德
902,南湾子,承德
903,南大庙,承德
904,潘家店,承德
905,平泉,承德
906,平坊,承德
907,流水沟,承德
908,隆化,承德
909,六道河子,承德
910,滦河沿,承德
911,滦平,承德
912,马头,邯郸
913,临水,邯郸
914,徘徊北,邯郸
915,偏店,邯郸
916,彭城,邯郸
917,林村,邯郸
918,井店,邯郸
919,康城,邯郸
920,磁山,邯郸
921,磁西,邯郸
922,磁县,邯郸
923,东戌,邯郸
924,豆庄,邯郸
925,邯郸,邯郸
926,邯郸东,邯郸
927,和村,邯郸
928,阳邑,邯郸
929,悬钟,邯郸
930,义井,邯郸
931,涉县,邯郸
932,什里店,邯郸
933,新坡,邯郸
934,新市区,邯郸
935,新固镇,邯郸
936,午汲,邯郸
937,武安,邯郸
938,王瞳,衡水
939,深州,衡水
940,前磨头,衡水
941,饶阳,衡水
942,清凉店,衡水
943,枣强,衡水
944,衡水,衡水
945,贡家台,衡水
946,大营镇,衡水
947,龙华,衡水
948,牛驼,廊坊
949,廊坊,廊坊
950,廊坊北,廊坊
951,大厂县,廊坊
952,霸州,廊坊
953,霸州西,廊坊
954,固安,廊坊
955,燕郊,廊坊
956,三河县,廊坊
957,胜芳,廊坊
958,万庄,廊坊
959,文安,廊坊
960,山海关,秦皇岛
961,秦皇岛,秦皇岛
962,抚宁,秦皇岛
963,北戴河,秦皇岛
964,昌黎,秦皇岛
965,龙家营,秦皇岛
966,龙家营所,秦皇岛
967,卢龙,秦皇岛
968,南峪,石家庄
969,良村,石家庄
970,井南,石家庄
971,井陉,石家庄
972,晋州,石家庄
973,获鹿,石家庄
974,获鹿所,石家庄
975,承安铺,石家庄
976,高邑,石家庄
977,高邑西,石家庄
978,藁城,石家庄
979,石家庄,石家庄
980,石家庄北,石家庄
981,新乐,石家庄
982,辛集,石家庄
983,新安村,石家庄
984,元氏,石家庄
985,正定,石家庄
986,正定机场,石家庄
987,正定站,石家庄
988,杨各庄,唐山
989,玉田县,唐山
990,唐坊,唐山
991,唐山,唐山
992,唐山北,唐山
993,石郎庄,唐山
994,迁安,唐山
995,沙子河,唐山
996,福山寺,唐山
997,丰南,唐山
998,富庄子,唐山
999,开平,唐山
1000,狼窝铺,唐山
1001,马柳,唐山
1002,马铺营,唐山
1003,滦县,唐山
1004,滦县东,唐山
1005,螺山,唐山
1006,滦河,唐山
1007,临城,邢台
1008,临西,邢台
1009,南宫东,邢台
1010,沙河,邢台
1011,沙河市,邢台
1012,清河城,邢台
1013,新河,邢台
1014,邢台,邢台
1015,邢台东,邢台
1016,新保安,张家口
1017,下花园,张家口
1018,西八里,张家口
1019,沙岭子,张家口
1020,沙城,张家口
1021,幽州,张家口
1022,宣化,张家口
1023,张家口,张家口
1024,张家口南,张家口
1025,狼山,张家口
1026,旧庄窝,张家口
1027,旧庄窝东,张家口
1028,孔家庄,张家口
1029,东花园,张家口
1030,官厅,张家口
1031,官厅西,张家口
1032,郭磊庄,张家口
1033,柴沟堡,张家口
1034,安阳,安阳
1035,安阳东,安阳
1036,滑县南,安阳
1037,汤阴,安阳
1038,鹤壁,鹤壁
1039,鹤壁东,鹤壁
1040,济源,济源
1041,莲东,济源
1042,盘古寺,济源
1043,沁河北,济源
1044,轵城,济源
1045,月山,焦作
1046,沁阳,焦作
1047,山阳,焦作
1048,武陟,焦作
1049,修武,焦作
1050,修武西,焦作
1051,焦作,焦作
1052,焦作东,焦作
1053,待王,焦作
1054,兰考,开封
1055,兰考南,开封
1056,开封,开封
1057,开封北,开封
1058,宋城路,开封
1059,新安县,洛阳
1060,王庄,洛阳
1061,偃师,洛阳
1062,伊川,洛阳
1063,留庄,洛阳
1064,洛阳,洛阳
1065,洛阳东,洛阳
1066,洛阳龙门,洛阳
1067,孟津,洛阳
1068,白合,洛阳
1069,关林,洛阳
1070,孟庙,漯河
1071,漯河,漯河
1072,漯河西,漯河
1073,临颍,漯河
1074,蒲山店,南阳
1075,南阳,南阳
1076,南阳东,南阳
1077,南阳西,南阳
1078,南召,南阳
1079,内乡,南阳
1080,构林,南阳
1081,韩堂,南阳
1082,邓州,南阳
1083,董庄,南阳
1084,北召店,南阳
1085,镇平,南阳
1086,唐河,南阳
1087,桐柏,南阳
1088,西峡,南阳
1089,穰东,南阳
1090,瀼河,平顶山
1091,商酒务,平顶山
1092,汝州,平顶山
1093,石龙,平顶山
1094,草店,平顶山
1095,宝丰,平顶山
1096,庙下,平顶山
1097,平顶山,平顶山
1098,平顶山西,平顶山
1099,临汝镇,平顶山
1100,鲁山,平顶山
1101,濮阳,濮阳
1102,台前,濮阳
1103,汝阳,沁阳
1104,捏掌,沁阳
1105,后寨,沁阳
1106,灵宝,三门峡
1107,灵宝西,三门峡
1108,三门峡,三门峡
1109,三门峡南,三门峡
1110,三门峡西,三门峡
1111,渑池,三门峡
1112,渑池南,三门峡
1113,义马,三门峡
1114,永城,商丘
1115,永城北,商丘
1116,虞城县,商丘
1117,商丘,商丘
1118,商丘南,商丘
1119,夏邑县,商丘
1120,宁陵县,商丘
1121,民权,商丘
1122,民权北,商丘
1123,获嘉,新乡
1124,长垣,新乡
1125,封丘,新乡
1126,新乡,新乡
1127,新乡东,新乡
1128,文庄村,新乡
1129,卫辉,新乡
1130,狮子营,新乡
1131,延津,新乡
1132,商城,信阳
1133,信阳,信阳
1134,信阳东,信阳
1135,新县,信阳
1136,息县,信阳
1137,固始,信阳
1138,光山,信阳
1139,潢川,信阳
1140,淮滨,信阳
1141,明港,信阳
1142,明港东,信阳
1143,罗山,信阳
1144,长葛,许昌
1145,许昌,许昌
1146,许昌东,许昌
1147,新郑,郑州
1148,新郑机场,郑州
1149,上街,郑州
1150,郑州,郑州
1151,郑州东,郑州
1152,郑州西,郑州
1153,中牟,郑州
1154,中原,郑州
1155,巩义,郑州
1156,巩义南,郑州
1157,绿博园,郑州
1158,南阳寨,郑州
1159,圃田西,郑州
1160,黄河景区,郑州
1161,贾鲁河,郑州
1162,周口,周口
1163,沈丘,周口
1164,项城,周口
1165,西平,驻马店
1166,遂平,驻马店
1167,确山,驻马店
1168,驻马店,驻马店
1169,驻马店西,驻马店
1170,壮志,大庆
1171,烟筒屯,大庆
1172,银浪,大庆
1173,太阳升,大庆
1174,泰康,大庆
1175,向阳村,大庆
1176,新肇,大庆
1177,兴无,大庆
1178,新华屯,大庆
1179,卧里屯,大庆
1180,喇嘛甸,大庆
1181,劳动屯,大庆
1182,林源,大庆
1183,立志,大庆
1184,高家,大庆
1185,独立屯,大庆
1186,创业村,大庆
1187,大庆,大庆
1188,大庆东,大庆
1189,大庆西,大庆
1190,八村,大庆
1191,阿木尔,大兴安岭地区
1192,碧水,大兴安岭地区
1193,碧州,大兴安岭地区
1194,翠岗,大兴安岭地区
1195,大乌苏,大兴安岭地区
1196,长缨,大兴安岭地区
1197,古里金,大兴安岭地区
1198,古莲,大兴安岭地区
1199,韩家园,大兴安岭地区
1200,宏图,大兴安岭地区
1201,林海,大兴安岭地区
1202,呼源,大兴安岭地区
1203,呼中,大兴安岭地区
1204,聂河,大兴安岭地区
1205,盘古,大兴安岭地区
1206,漠河,大兴安岭地区
1207,蒙克山,大兴安岭地区
1208,图强,大兴安岭地区
1209,瓦拉干,大兴安岭地区
1210,新林,大兴安岭地区
1211,绣峰,大兴安岭地区
1212,太阳沟,大兴安岭地区
1213,塔尔根,大兴安岭地区
1214,塔河,大兴安岭地区
1215,塔源,大兴安岭地区
1216,十八,大兴安岭地区
1217,育英,大兴安岭地区
1218,玉泉,哈尔滨
1219,依兰,哈尔滨
1220,亚布力,哈尔滨
1221,亚布力南,哈尔滨
1222,亚沟,哈尔滨
1223,一面坡,哈尔滨
1224,周家,哈尔滨
1225,沈家,哈尔滨
1226,石人城,哈尔滨
1227,双城堡,哈尔滨
1228,双城北,哈尔滨
1229,孙家,哈尔滨
1230,尚志,哈尔滨
1231,山河屯,哈尔滨
1232,徐家,哈尔滨
1233,兴隆镇,哈尔滨
1234,新香坊,哈尔滨
1235,新松浦,哈尔滨
1236,小岭,哈尔滨
1237,香坊,哈尔滨
1238,王兆屯,哈尔滨
1239,苇河,哈尔滨
1240,王岗,哈尔滨
1241,万乐,哈尔滨
1242,万发屯,哈尔滨
1243,五常,哈尔滨
1244,五家,哈尔滨
1245,帽儿山,哈尔滨
